change_id,commit_hash,old_path,current_path
1_change1,7e9e57603e97b8d780646665425ec9d12cd4d572,None,mockwebserver/src/main/java/okhttp3/internal/duplex/MwsDuplexAccess.java
2_change1,ae5c364051f9c55b6a85c2cc14eea0a53ef5fa94,mockwebserver/src/main/java/okhttp3/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/okhttp3/mockwebserver/Dispatcher.java
2_change2,e7023e034482da35fe78fe05c7cf690117b2b738,mockwebserver/src/main/java/okhttp3/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/okhttp3/mockwebserver/Dispatcher.java
2_change3,c9a89876de476983f273edbf108c365127c18c5e,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/okhttp3/mockwebserver/Dispatcher.java
2_change4,6f232fdb6d11e8d030a6c986faf95636cd71f569,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java
2_change5,bcf069cd2b2e5ee6cc324921e68ac6a8ef4f94f0,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java
2_change6,d5ab35a272dfd9a7eca1072a72d3d57f29c438b4,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java
2_change7,8535f2447c4269531de53e9e37aa37f2d4d1da51,mockwebserver/src/main/java/com/google/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java
2_change8,60102293782e942ec86d7e2c26836ed6fa992cf5,src/main/java/com/google/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/com/google/mockwebserver/Dispatcher.java
2_change9,889463746b9d426c6f0703c743b07a41fa5367cc,src/main/java/com/google/mockwebserver/Dispatcher.java,src/main/java/com/google/mockwebserver/Dispatcher.java
2_change10,57edb21a2a7b53ed9d996c9b7148f7d3bc7fc438,None,src/main/java/com/google/mockwebserver/Dispatcher.java
3_change1,9d28d9c9e2078dd598777980b5eff46355b6df72,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change2,dddbd58581da38e605e8fe10387a184d6303b4df,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change3,7e9e57603e97b8d780646665425ec9d12cd4d572,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change4,cd22113332cdeeedac8d6bda3297194f983b4aaf,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change5,949439ae5b0c5fd70687d1f946cac80552a5a7f9,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change6,40dddb9dcf8ba654e16f6497020043b38b6d22a1,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change7,039bcf92dbff48d1162016f8cf4ba08a99071717,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change8,3d43a8dba89ccd7333c3ebcf74928e441790d943,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change9,c9290b76961c46f476761ccadce0cb006d474b92,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change10,77347b834852689ae2bdcb9c5c8aabd94bdf4fb3,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change11,e7023e034482da35fe78fe05c7cf690117b2b738,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change12,49dfda04ae9df1b915ccea17ca1e70ff48e06e6c,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change13,c9a89876de476983f273edbf108c365127c18c5e,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java,mockwebserver/src/main/java/okhttp3/mockwebserver/MockResponse.java
3_change14,c5f58e45454d1ffc621c65e377cb91345018e087,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java
3_change15,b0664e80edfc58e9a66051b803560f3102aaf0a0,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java
3_change16,0b2ef95640f41a3edf5faa73ffcaf340da311fba,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java
3_change17,ef47c446a2c3dd9d4520b1cfe45283208ca9bb4c,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java
3_change18,8f54a48ea5397e70bb81155e298f83a6b18623e5,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java
3_change19,c5c4e7857cb25af822b9b3b1fbd158cbd168f48a,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java
3_change20,8e201297fe9e6b5c908848c3cef633966e49c0d9,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/MockResponse.java
